user_ID,frequence,amount,recently,type
1858,1,227,22,0
1859,4,2537,48,1
1860,4,3149,3,1
1861,1,552,41,0
1865,2,1690,51,0
1867,2,1401,2,0
1868,6,5613,4,1
1869,3,2231,58,1
1871,4,3863,123,1
1873,4,3243,8,1
1874,2,2003,162,0
1877,3,2231,80,0
1878,1,470,69,0
1879,1,1127,65,0
1881,2,1675,178,0
1883,1,258,117,0
1884,2,1937,204,0
1886,6,5755,17,1
1888,3,2329,5,1
1889,4,2985,59,1
1890,1,870,113,0
1891,2,2159,95,0
1892,1,442,47,0
1893,2,1328,139,0
1895,3,2254,32,0
1896,1,1415,11,0
1898,1,1069,32,0
1899,2,1195,18,0
1900,2,2500,54,0
1901,2,1665,28,0
1902,1,345,8,0
1904,3,2873,29,1
1906,2,913,163,0
1907,2,2873,72,0
1908,3,2568,63,0
1910,3,980,108,0
1911,3,1941,32,0
1912,2,1095,111,0
1913,5,4300,26,1
1914,3,3879,85,1
1917,4,2544,33,1
1918,3,1674,13,0
1919,5,3783,33,1
1921,1,1071,51,0
1922,2,1486,120,0
1923,2,2364,16,1
1924,1,376,111,0
1925,2,1498,32,0
1926,3,2313,4,1
1929,2,2341,11,0
1930,1,1247,93,0
1932,3,3476,5,1
1933,2,2406,46,0
1934,5,4191,15,1
1935,2,1668,23,0
1936,2,1512,88,0
1937,3,3440,83,1
1938,3,1190,86,0
1939,3,2586,19,1
1940,3,3322,23,1
1941,1,1156,12,0
1943,2,2814,39,1
1944,5,2663,41,1
1945,1,694,42,0
1947,3,3394,84,1
1949,1,333,3,0
1951,3,3058,51,1
1952,1,413,92,0
1954,2,1284,66,0
1955,2,1633,38,0
1956,1,1054,83,0
1959,2,1578,8,0
1960,1,1162,82,0
1961,2,1504,2,0
1962,1,1170,9,0
1963,3,2113,41,0
1964,3,1886,99,0
1966,2,1763,57,0
1967,4,2744,45,1
1969,3,3068,89,1
1970,2,1684,50,0
1971,2,2182,22,1
1972,3,3011,75,1
1973,3,2538,99,0
1974,4,5085,76,1
1975,5,3352,54,1
1976,5,5399,47,1
1978,1,1767,82,0
1979,3,3455,44,1
1981,1,1129,95,0
1983,2,2321,49,0
1987,4,3514,5,1
1989,1,444,55,0
1990,3,2919,101,1
1991,1,229,24,0
1992,1,1432,107,0
1993,3,3669,2,1
1994,2,2142,174,0
1995,1,440,66,0
1996,3,3536,127,1
1997,2,1453,96,0
1998,3,2868,3,1
1999,4,4005,17,1
2001,1,389,158,0
2003,3,4515,67,1
2004,1,785,50,0
2007,2,1938,90,0
2009,2,1270,15,0
2010,2,1690,99,0
2011,3,3283,57,1
2013,2,1884,74,0
2014,1,1735,115,0
2015,4,4100,56,1
2016,2,2233,147,0
2017,1,357,132,0
2019,5,4527,38,1
2021,2,1117,112,0
2022,4,3528,3,1
2023,3,2690,8,1
2027,1,298,6,0
2028,2,876,47,0
2029,4,3372,10,1
2030,5,3730,28,1
2031,3,2328,3,1
2032,5,5160,38,1
2034,3,3209,3,1
2035,3,1594,8,0
2036,2,2342,86,0
2037,1,940,144,0
2038,1,1143,130,0
2040,4,4952,18,1
2041,2,1179,85,0
2042,3,3325,44,1
2044,3,2351,13,0
2045,3,2374,6,1
2046,1,615,67,0
2048,2,2398,39,0
2049,1,320,4,0
2050,2,1971,72,0
2052,1,1194,126,0
2053,4,2571,36,1
2054,3,2483,95,0
2055,6,5126,22,1
2057,5,3188,5,1
2058,3,2330,121,0
2059,2,1542,88,0
2060,1,227,73,0
2062,2,1542,182,0
2063,3,3137,18,1
2064,2,1392,40,0
2065,3,2837,24,1
2066,2,1604,64,0
2067,1,718,63,0
2069,2,1212,15,0
2071,2,1923,11,0
2074,28,28234,8,1
2075,3,3195,66,1
2076,2,1385,90,0
2078,2,2493,52,1
2079,2,2098,38,0
2080,3,1687,6,1
2081,3,2743,12,1
2083,3,2977,24,1
2085,3,2747,46,1
2086,1,1508,32,0
2087,3,1552,72,0
2088,6,5049,17,1
2089,3,2848,14,1
2091,2,1439,69,0
2092,6,5385,14,1
2094,2,1318,13,0
2096,1,455,26,0
2097,2,2700,17,1
2098,2,2357,27,0
2099,1,1330,23,0
2100,1,1344,8,0
2103,2,1577,102,0
2105,4,4225,28,1
2109,2,1978,11,0
2114,2,1857,77,0
2115,1,896,49,0
2116,2,2896,35,1
2120,2,2415,110,0
2121,4,4789,9,1
2122,2,2123,49,0
2123,3,2348,24,1
2124,3,3844,66,1
2126,2,1062,109,0
2128,2,2025,1,0
2130,2,2142,116,0
2131,3,3815,58,1
2132,5,3356,60,1
2134,4,1790,19,0
2135,2,1829,93,0
2138,2,2163,56,0
2139,3,2027,19,0
2142,1,477,3,0
2143,1,512,104,0
2144,7,6380,20,1
2145,4,3224,106,1
2147,32,27088,6,1
2148,2,1602,63,0
2149,5,4084,22,1
2150,4,1767,37,0
2151,1,431,19,0
2152,1,866,31,0
2154,1,1399,98,0
2155,3,3505,4,1
2157,5,5589,43,1
2158,3,1801,76,0
2160,3,2863,0,1
2161,1,316,97,0
2162,4,2737,55,1
2164,4,3473,23,1
2165,2,2014,11,1
2167,2,2490,53,0
2168,4,4581,96,1
2169,2,1187,100,0
2170,1,735,71,0
2171,3,2134,49,0
2172,4,4188,50,1
2173,4,3768,4,1
2175,2,1863,26,0
2176,3,2927,42,1
2178,2,1423,51,0
2179,1,1414,32,0
2180,2,2387,28,1
2181,29,25875,0,1
2182,2,1545,55,0
2183,1,495,146,0
2184,2,1602,23,0
2185,1,1418,55,0
2186,4,3324,12,1
2187,2,1828,26,0
2188,2,2305,208,0
2189,2,839,81,0
2190,2,3204,136,0
2192,2,2365,45,0
2193,5,4310,28,1
2195,2,1882,93,0
2196,3,2277,48,0
2197,2,2541,173,0
2198,2,2016,56,0
2201,5,5148,13,1
2203,1,360,2,0
2206,2,2369,57,0
2207,4,2821,41,1
2208,8,7655,123,1
2209,1,1064,162,0
2210,5,4431,11,1
2211,2,1277,74,0
2212,2,2309,163,0
2213,3,2252,85,0
2214,1,1366,158,0
2215,1,1275,101,0
2216,3,3277,111,1
2217,2,2306,125,0
2222,3,1673,15,0
2224,2,1055,93,0
2227,5,3721,45,1
2228,1,1571,109,0
2230,2,2812,99,1
2232,2,1817,28,0
2234,2,2201,166,0
2236,2,1892,42,0
2238,5,4445,48,1
2239,2,1918,44,0
2240,4,2075,45,0
2241,2,1815,0,0
2243,25,26742,3,1
2244,2,2153,129,0
2245,3,2238,3,1
2246,4,1723,25,1
2247,3,2554,1,1
2248,1,626,165,0
2251,4,3646,47,1
2254,1,1779,94,0
2257,2,2053,51,0
2258,4,2750,132,1
2260,1,867,100,0
2261,1,598,45,0
2262,1,581,71,0
2263,3,2101,81,0
2264,2,1487,113,0
2265,3,3113,28,1
2266,5,5206,2,1
2267,2,2360,146,0
2268,3,3173,115,0
2269,4,3864,4,1
2270,3,2338,127,0
2271,1,518,137,0
2274,4,4343,70,1
2276,30,25753,3,1
2278,6,6175,4,1
2279,1,471,88,0
2280,2,1491,71,0
2281,4,5171,19,1
2283,3,4007,25,1
2284,1,484,10,0
2286,5,2899,26,1
2288,4,3117,53,1
2290,3,1856,8,0
2291,2,730,104,0
2292,2,1668,137,0
2293,1,1074,114,0
2294,3,2916,71,1
2296,2,2269,185,0
2297,4,3681,25,1
